Country,Reading_0_100,Math_0_100,Science_0_100,Enrollment,EParticipation,Media_Access,IT,v_MLI,v_MLI_check,missing_any,missing_which,over_100_vMLI,over_100_vMLI_check
Norway,46,44.67,46.33,95.0573806762695,86.3,NA,71,69.06434516906738,NA,TRUE,Media_Access,FALSE,NA
New Zealand,50,NA,50.67,76.3811416625977,93.15,NA,NA,68.45704722086592,NA,TRUE,Math_0_100|Media_Access|IT,FALSE,NA
Ecuador,NA,NA,NA,67.8851161961618,87.67,77.04294693676056,14,68.22259493883799,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA
Saudi Arabia,30.33,31.33,31.67,83.884129573915,95.89,75.26975379537316,82,68.17902095423652,NA,FALSE,,FALSE,NA
Serbia,40,39.83,41.17,73.2060012817383,89.03999999999999,83.24367274391935,42.7,67.50236928982848,NA,FALSE,,FALSE,NA
Italy,46.83,45.17,46.17,75.9496536254883,65.75,82.50587173577226,44.3,66.99129673813215,NA,FALSE,,FALSE,NA
United Arab Emirates,36.17,38.5,38.5,63.7384451086316,78.08,83.35278667458992,62.4,66.2253814361307,NA,FALSE,,FALSE,NA
Hungary,45.33,45.33,47.5,56.5924415588379,54.790000000000006,86.93548549023771,59,66.08306042992078,NA,FALSE,,FALSE,NA
Spain,45.67,45.5,47.33,93.7303466796875,80.82000000000001,NA,58,65.72258666992188,NA,TRUE,Media_Access,FALSE,NA
Belarus,NA,NA,NA,70.1107509145358,49.32,72.95954445200616,44,65.37657389064377,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA
Lebanon,NA,NA,NA,54.4012561547071,46.58,73.66950948947388,NA,65.05537264460864,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|IT,FALSE,NA
Ukraine,37.83,40,41.67,85.2667604023424,100,75.09064145446449,23.8,64.96427064213715,NA,FALSE,,FALSE,NA
Ireland,52.67,NA,50.5,76.6049499511719,91.78,NA,44.5,64.6258954412287,NA,TRUE,Math_0_100|Media_Access,FALSE,NA
Austria,46.67,47.83,48.5,91.6818237304688,78.08,NA,52.3,64.3454559326172,NA,TRUE,Media_Access,FALSE,NA
Sweden,47.67,46.83,48.83,81.3998184204102,79.45,NA,64.3,64.19745460510255,NA,TRUE,Media_Access,FALSE,NA
Latvia,45.67,NA,48.83,85.7360610961914,78.08,NA,51,63.74619848077949,NA,TRUE,Math_0_100|Media_Access,FALSE,NA
Costa Rica,35.83,30.67,35,55.0202903747559,72.6,81.74424643657511,NA,63.1874912564927,NA,TRUE,IT,FALSE,NA
Croatia,45.83,43.83,47,81.1775207519531,91.78,NA,50.3,63.00104685465494,NA,TRUE,Media_Access,FALSE,NA
Andorra,NA,NA,NA,67.6767676767677,54.790000000000006,NA,NA,62.52206060606062,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Brazil,35,29.67,33.83,60.3906211853027,86.3,80.09063660454908,37,61.84984781961504,NA,FALSE,,FALSE,NA
Switzerland,47.17,51.17,50.33,74.0060882568359,82.19,NA,55.8,61.75068873087564,NA,TRUE,Media_Access,FALSE,NA
Lithuania,45.17,45.83,47.33,77.0064163208008,83.56,NA,56.3,61.61743741353354,NA,TRUE,Media_Access,FALSE,NA
Slovenia,44.67,47.33,49.83,80.0806884765625,78.08,NA,52.7,61.08100545247396,NA,TRUE,Media_Access,FALSE,NA
Fiji,NA,NA,NA,75.0089752283697,39.73,NA,NA,60.89738513702183,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|Media_Access|IT,FALSE,NA
Malta,40.83,44.33,44.17,80.5250091552734,73.97,NA,65,60.875418955485024,NA,TRUE,Media_Access,FALSE,NA
Russia,NA,NA,NA,60.3891235376867,NA,NA,NA,60.3891235376867,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100|EParticipation|Media_Access|IT,FALSE,NA
Malaysia,31.33,34.67,36,38.5013945445142,69.86,81.93268591279914,62.8,60.04728354679679,NA,FALSE,,FALSE,NA
South Africa,NA,NA,NA,23.493768799339,83.56,79.45707012517734,12,59.817191159962384,NA,TRUE,Reading_0_100|Math_0_100|Science_0_100,FALSE,NA
Georgia,28.83,31.67,30.67,78.2652247393707,NA,78.72561571753958,30,59.63503333102383,NA,TRUE,EParticipation,FALSE,NA
Poland,48,48,49.83,76.8794097900391,75.33999999999999,NA,45.7,59.54568578084311,NA,TRUE,Media_Access,FALSE,NA
Colombia,34.67,30.33,35.17,59.2901382446289,73.97,79.13165923935358,25.8,58.998684432435766,NA,FALSE,,FALSE,NA
Uruguay,38.33,34.67,39.17,79.9536903496537,86.3,NA,53,58.940922587413425,NA,TRUE,Media_Access,FALSE,NA
